benchmark,task_id,repository,language,upstream_row_index,artifact_hash
ExecRepoBench-120,execrepobench-0010-002176391c,Chronyk,Python,10,002176391cc298bce76f8eca2b6122d03297e6cfe3f595ca6134965ee71937da
ExecRepoBench-120,execrepobench-1148-02d99ed352,xmltodict,Python,1148,02d99ed352715f26012fc9ec559f78f93fd4a10b6d5e3a7198de5c771d358da3
ExecRepoBench-120,execrepobench-0784-02e45263da,objprint,Python,784,02e45263da60cfe38d817ff2d2bea1f3faff6c01221e54df0f7071fa53b060fb
ExecRepoBench-120,execrepobench-0816-03d45d73c7,python-fastjsonschema,Python,816,03d45d73c75d4fc2f220a5a842c8d364436011f526b5e29c89474ed618888c27
ExecRepoBench-120,execrepobench-1029-058728f7cf,transitions,Python,1029,058728f7cfe4057ff9e01a3f85aafd161de838a467819852d56916dd9427afa7
ExecRepoBench-120,execrepobench-0554-05be05dd86,imageio,Python,554,05be05dd861a0f623c529db457f622be60ffc1f0a8a60782ea3848e218a51c90
ExecRepoBench-120,execrepobench-0750-05f80185e6,more-itertools,Python,750,05f80185e6d93e9e19d5e7c1b373a15da367cb6046b29bd38bda8686b3c4a7e6
ExecRepoBench-120,execrepobench-0691-062d3fc78e,moment,Python,691,062d3fc78ed0ecb3b0225d3650bbea55f3c07a448ff10877bb6581f1d3d0beca
ExecRepoBench-120,execrepobench-0021-08131e8bf2,PTable,Python,21,08131e8bf25dd231ce350103cc4b8c54e683e41444cb13530b1c8ae73dd7688f
ExecRepoBench-120,execrepobench-0269-082945d36f,datetime_truncate,Python,269,082945d36f118302524bccff26e90e4986b5eb2b37524e4539defc4872e0934b
ExecRepoBench-120,execrepobench-1153-08525b8ede,xmltodict,Python,1153,08525b8ede9ef7a81f13883de446d58d38fb89431ae208996247e694b6a1c6d4
ExecRepoBench-120,execrepobench-0729-0895fae602,more-itertools,Python,729,0895fae602a1eec0cc49654b7aafca1aea91822600553ebfff970fb31911426c
ExecRepoBench-120,execrepobench-0121-09f0009e5a,boltons,Python,121,09f0009e5a8a75808f442d132ca56826110233f5fbf67002e3ed27cc3e35c113
ExecRepoBench-120,execrepobench-0383-0a4065da5e,eip712,Python,383,0a4065da5e0ec19176cdbafd9cd8e996fdd05bee73822edc6a6554f15a12d0cf
ExecRepoBench-120,execrepobench-0988-0b5928a25c,textdistance,Python,988,0b5928a25c20d7c635ecac4c8b7255610c9f50d6a629b6253a456d45ee5ccf1c
ExecRepoBench-120,execrepobench-0226-0b9ff5af61,csv-diff,Python,226,0b9ff5af618d4588ecfee39c6f4eb4ad8cd3e95cdcce1e5fbc65813b521b59d7
ExecRepoBench-120,execrepobench-0163-0cd764dc97,compressed_rtf,Python,163,0cd764dc973b80be721bc9dcffd792cd77eeb2322cbe746045f5f4c139edddc2
ExecRepoBench-120,execrepobench-0558-0d59429324,imageio,Python,558,0d59429324f4988a1fc71b7a13f878bed223b15a5e85d5f2a50c45387953e239
ExecRepoBench-120,execrepobench-0595-0dfc029bd0,json_repair,Python,595,0dfc029bd0d0d7284d0777b963f0bd8fd953cb1748328383a918436df0fe4c05
ExecRepoBench-120,execrepobench-1123-0f6c5532f9,workdays,Python,1123,0f6c5532f975feae1db2b59f45b202fb4ec540059cc6cc088f5b37534bcc1fd6
ExecRepoBench-120,execrepobench-0755-0fbea6cf43,msgpack-python,Python,755,0fbea6cf435bb6b85769c6567ca8d7186c81a143a2ebf44cc0abe5526d8f51af
ExecRepoBench-120,execrepobench-0027-10c65d2bcd,PTable,Python,27,10c65d2bcda2fdbdfbc9fd618162c92c3e1df81c86f783284156da1d67d70580
ExecRepoBench-120,execrepobench-0035-12131ff80b,PTable,Python,35,12131ff80b1652a2a9f69640fd658d43442d09b66500db0fce7077ffc53cd2b6
ExecRepoBench-120,execrepobench-0737-12e5fb4be1,more-itertools,Python,737,12e5fb4be153f4680f5fea53aa0c3de96cddcd98becef1f30319daf0c8bca044
ExecRepoBench-120,execrepobench-0563-1350775fdf,imageio,Python,563,1350775fdf137772c5a8239a28aa5cdefde22435e0202e0f18d8cd3686816dc3
ExecRepoBench-120,execrepobench-0030-13ac1e5229,PTable,Python,30,13ac1e52294c818069f75e9ac897fc9590d5899d6c3d97b91230ac63fc90e786
ExecRepoBench-120,execrepobench-0391-13e55956a5,eip712,Python,391,13e55956a5789da45c38a8da80a1b2d958ac993354f44377aa83b7693fbd6311
ExecRepoBench-120,execrepobench-1137-15ef53d152,xmltodict,Python,1137,15ef53d152cae6bc2a8daf14a902db32c1c0555d35f8c1c6be9f7abe6133257b
ExecRepoBench-120,execrepobench-0052-16c6360987,PyPattyrn,Python,52,16c6360987d94ac79394d13fd03df72e6fb18e1213b47b691d2459d9d96b0bea
ExecRepoBench-120,execrepobench-0256-1726de55fa,csvkit,Python,256,1726de55fac5244fb571f0d075b657c7c70582dcb88dedec94fa7280405b71a4
ExecRepoBench-120,execrepobench-1060-17cb6eb260,tryme,Python,1060,17cb6eb260b474a37171b0e15d284d88ba01bff7a73619f3e91e8df5430729e4
ExecRepoBench-120,execrepobench-0604-1bb1773a29,json_repair,Python,604,1bb1773a2988a2ca75033d433360de1cd8fe7ed33e58f78eb31cf8009c163f66
ExecRepoBench-120,execrepobench-0672-1c8ce15619,maya,Python,672,1c8ce15619dbd3e73435cc4310c7e91fdcf67201f96135cffa29bb90b7e8e31f
ExecRepoBench-120,execrepobench-0302-1f96bf0f6f,dpath-python,Python,302,1f96bf0f6f1dede8976d0b2de53a2e79d509121c111295f84fdfaf6bb6492c39
ExecRepoBench-120,execrepobench-0258-207a5d4188,csvkit,Python,258,207a5d4188c00e38be010a354f96959bac84e048740705c9f0fa10f31af736a7
ExecRepoBench-120,execrepobench-0744-2139f303e6,more-itertools,Python,744,2139f303e60e734323804d76ec701aefed06286ecba9ab67f92e6838a1bd1aa9
ExecRepoBench-120,execrepobench-0555-21d0af873b,imageio,Python,555,21d0af873b27231e2f98932db0146e9ab064fd0de4b32a8a6c5549469b2a00b5
ExecRepoBench-120,execrepobench-0811-22ae9cd1ce,python-fastjsonschema,Python,811,22ae9cd1cebc0f7e10d92111377b26d930e8e2fbcbb545368ae164bdb28cb9ae
ExecRepoBench-120,execrepobench-0167-2355408f24,compressed_rtf,Python,167,2355408f2459ac2e16eb7abbff9832eb4785773d284098044dc5ce99ae80037e
ExecRepoBench-120,execrepobench-1097-245d0199b5,w2n,Python,1097,245d0199b5f1099ea6b554fc0a78f33212591f75d4893d5b032204ea75393e8d
ExecRepoBench-120,execrepobench-0870-26c407fa23,python-pinyin,Python,870,26c407fa23b5367b7db6fe9e0f62cb04852ffd18a23b06e650f2f61c8b6c1b1f
ExecRepoBench-120,execrepobench-1121-2775a12414,workdays,Python,1121,2775a124147ff13c2ceb78f0fb3a7337d6d86f5d399dadc63ab15bb47f7bc125
ExecRepoBench-120,execrepobench-0147-2853c99dc7,cacheout,Python,147,2853c99dc7ac92a626c7341a837ab029e7e4c70d505ce01de05ec2a2744a86c1
ExecRepoBench-120,execrepobench-0262-2adf42dd60,csvkit,Python,262,2adf42dd60caf8a5db8b325b0209294c331336958e964f5c3f4fc275d801bce5
ExecRepoBench-120,execrepobench-0760-2c7e23c784,msgpack-python,Python,760,2c7e23c784919302a1e27c19caf86a88e31c58b0e96a455193e574594b994a16
ExecRepoBench-120,execrepobench-0402-2df9d08c30,eml_parser,Python,402,2df9d08c30e4fef5a55f40eda9a95743c8d0393acf775b7f2b9ef95489f1ebce
ExecRepoBench-120,execrepobench-0670-33a9fa36f8,maya,Python,670,33a9fa36f864712c0e53c93d50198019a8c68f57c338d35c3899d697586d8128
ExecRepoBench-120,execrepobench-1158-3448f8239e,xmltodict,Python,1158,3448f8239ea2b0fdcd34ba31c0e100b05f4ccc605f397c6c457b0d3e29813ae4
ExecRepoBench-120,execrepobench-0126-34e018c3ef,boltons,Python,126,34e018c3ef988be1908c3081fd195134146a66dd258e5e50ddb6e542de68ec80
ExecRepoBench-120,execrepobench-0667-34efd6f5cc,maya,Python,667,34efd6f5cc1b0a5b9bd47a1119d24b6667150f84bbaee0eab170b475622d9284
ExecRepoBench-120,execrepobench-0235-3594949787,csvkit,Python,235,3594949787f77465ca3f638cd27bc65b5c9e219a32fa8127a44c954df1408996
ExecRepoBench-120,execrepobench-0957-3706445faf,sqlparse,Python,957,3706445faf257cdc944085ad105e9a7713c98faa9ed380c7fceb08f02feaf738
ExecRepoBench-120,execrepobench-0591-38fa75ee86,json_repair,Python,591,38fa75ee86ebefe4718496b87d5c76ebf473d8651c2bdd8f617532962a9430f6
ExecRepoBench-120,execrepobench-0179-395ece56a4,compressed_rtf,Python,179,395ece56a4563720a1af34c66e6a392693dfeba4467699d09dc06086adba2316
ExecRepoBench-120,execrepobench-0770-3b4f7bf99f,msgpack-python,Python,770,3b4f7bf99f0f0717f6a0b26f361bab42c482eb1d2f58c13186c11aabb51188ed
ExecRepoBench-120,execrepobench-0376-3c57ae8969,eip712,Python,376,3c57ae8969e726d3e2e720d831f84396c3442c769aa21b75dd7655c8f2b3810a
ExecRepoBench-120,execrepobench-1071-3cec226db0,tryme,Python,1071,3cec226db0c6abd33a1d028a5a0cf8ca328fe5c2573c6915cd95e92e3484a804
ExecRepoBench-120,execrepobench-0120-3dcc59263c,boltons,Python,120,3dcc59263c22bdaf4c858b1dfd8ce318e672c64995c06caa958c3c9a98ce6864
ExecRepoBench-120,execrepobench-0054-40203da4c7,PyPattyrn,Python,54,40203da4c745eefe36cf8af9e718289fa32fa14ac5026d565bf5b19e397f1343
ExecRepoBench-120,execrepobench-0098-427645b5bb,algorithms,Python,98,427645b5bbece70bcabf31b035ce00bc9424b8ca5996fa64a039193ee41f99c0
ExecRepoBench-120,execrepobench-0894-4434c22736,python-sortedcontainers,Python,894,4434c227369250236b005e77a95ecb29a2251c748f1bacd98175dc942c544b4c
ExecRepoBench-120,execrepobench-0697-4573c963fa,moment,Python,697,4573c963faf3b8f49b51bb47ba0c289050aeca2951a5472eb4fe8fe41732801f
ExecRepoBench-120,execrepobench-0280-47e65dfc43,dict2css,Python,280,47e65dfc43fbf1f59a43ef33ec4a701eee73579c8be3c1ed5b107bb0fd815546
ExecRepoBench-120,execrepobench-0405-49c6915e07,eml_parser,Python,405,49c6915e071627626677ce34c168d562a2b8878767238ed49aa0a357b64ef833
ExecRepoBench-120,execrepobench-0787-4b12eebdd1,objprint,Python,787,4b12eebdd1d2ffedb3c34b8b23ce510e0165aa67564186b3dbaad6815184ce54
ExecRepoBench-120,execrepobench-0915-4b25d75d6c,shortuuid,Python,915,4b25d75d6c588a8cd8f5b1aba43fcae3a567f698eb6fe8dbb5600ebceb0fb8d3
