benchmark,backend,method,n,n_api_tasks,precision,recall,f1,jaccard,exact_set_match,pass_recall,fail_recall,auroc,ece
CoderEval,GPT,API-informed reference,19,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
CoderEval,GPT,Baseline RAG,19,13,0.14743589743589744,0.5769230769230769,0.22539682539682535,0.14358974358974358,0.0,0.75,0.5,,
CoderEval,GPT,ContextOnly,19,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CoderEval,GPT,OpenCoder,19,13,0.2416009204470743,0.641025641025641,0.2965797023489331,0.23663558663558665,0.15384615384615385,0.8333333333333333,0.5555555555555556,0.2857142857142857,0.3461742023321299
CoderEval,GPT,OpenCoder-NoAPIRefine,19,13,0.17899408284023666,0.641025641025641,0.24389904966828047,0.17424242424242425,0.07692307692307693,0.8333333333333333,0.5555555555555556,,
CoderEval,GPT,OpenCoder-NoUncFilter,19,13,0.13564384333615104,0.6794871794871794,0.21455659724890494,0.1330233868695407,0.0,0.8333333333333333,0.6111111111111112,,
CoderEval,Gemini,API-informed reference,19,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
CoderEval,Gemini,Baseline RAG,19,13,0.14743589743589744,0.5769230769230769,0.22539682539682535,0.14358974358974358,0.0,0.0,0.625,,
CoderEval,Gemini,ContextOnly,19,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CoderEval,Gemini,OpenCoder,19,13,0.1989163614163614,0.5448717948717948,0.2591774238833062,0.1926282051282051,0.07692307692307693,0.5833333333333333,0.5277777777777778,0.42857142857142855,0.2400227544857906
CoderEval,Gemini,OpenCoder-NoAPIRefine,19,13,0.12284268019562138,0.5448717948717948,0.19058889828120595,0.12005743125652629,0.0,0.5833333333333333,0.5277777777777778,,
CoderEval,Gemini,OpenCoder-NoUncFilter,19,13,0.12216394716394717,0.5448717948717948,0.18950201161079522,0.11945639830255216,0.0,0.5833333333333333,0.5277777777777778,,
ExecRepoBench,GPT,API-informed reference,10,0,,,,,,,,,
ExecRepoBench,GPT,Baseline RAG,10,0,,,,,,,,,
ExecRepoBench,GPT,ContextOnly,10,0,,,,,,,,,
ExecRepoBench,GPT,OpenCoder,10,0,,,,,,,,,
ExecRepoBench,GPT,OpenCoder-NoAPIRefine,10,0,,,,,,,,,
ExecRepoBench,GPT,OpenCoder-NoUncFilter,10,0,,,,,,,,,
ExecRepoBench,Gemini,API-informed reference,10,0,,,,,,,,,
ExecRepoBench,Gemini,Baseline RAG,10,0,,,,,,,,,
ExecRepoBench,Gemini,ContextOnly,10,0,,,,,,,,,
ExecRepoBench,Gemini,OpenCoder,10,0,,,,,,,,,
ExecRepoBench,Gemini,OpenCoder-NoAPIRefine,10,0,,,,,,,,,
ExecRepoBench,Gemini,OpenCoder-NoUncFilter,10,0,,,,,,,,,
RepoExec,GPT,API-informed reference,14,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
RepoExec,GPT,Baseline RAG,14,13,0.48653846153846153,1.0,0.6427350427350428,0.48653846153846153,0.0,1.0,1.0,,
RepoExec,GPT,ContextOnly,14,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
RepoExec,GPT,OpenCoder,14,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5732845990474408
RepoExec,GPT,OpenCoder-NoAPIRefine,14,13,0.5025641025641027,1.0,0.6581196581196581,0.5025641025641027,0.0,1.0,1.0,,
RepoExec,GPT,OpenCoder-NoUncFilter,14,13,0.48653846153846153,1.0,0.6427350427350428,0.48653846153846153,0.0,1.0,1.0,,
RepoExec,Gemini,API-informed reference,14,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
RepoExec,Gemini,Baseline RAG,14,13,0.48653846153846153,1.0,0.6427350427350428,0.48653846153846153,0.0,1.0,1.0,,
RepoExec,Gemini,ContextOnly,14,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
RepoExec,Gemini,OpenCoder,14,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9,1.0,0.041666666666666664,0.49786762971144466
RepoExec,Gemini,OpenCoder-NoAPIRefine,14,13,0.4641025641025642,0.9230769230769231,0.6068376068376069,0.4641025641025642,0.0,0.9,1.0,,
RepoExec,Gemini,OpenCoder-NoUncFilter,14,13,0.48653846153846153,1.0,0.6427350427350428,0.48653846153846153,0.0,1.0,1.0,,
