scope,backend,comparator,metric,comparator_value,opencoder_value,absolute_difference,bootstrap_ci95_low,bootstrap_ci95_high,opencoder_wins,opencoder_losses,ties,matched_tasks
Original 14,GPT,Baseline RAG,Pass@1,52.8571428571,65.7142857143,12.8571428571,-4.2857142857,28.5714285714,5,1,8,14
Original 14,GPT,Baseline RAG,Pass@3,71.4285714286,75.0,3.5714285714,-17.8571428571,23.5714285714,4,1,9,14
Original 14,GPT,Baseline RAG,Pass@5,78.5714285714,78.5714285714,0.0,-21.4285714286,21.4285714286,1,1,12,14
Original 14,GPT,RAG + Verify/Repair,Pass@1,55.7142857143,65.7142857143,10.0,-7.1428571429,27.1428571429,4,2,8,14
Original 14,GPT,RAG + Verify/Repair,Pass@3,75.7142857143,75.0,-0.7142857143,-20.7142857143,20.0,3,2,9,14
Original 14,GPT,RAG + Verify/Repair,Pass@5,78.5714285714,78.5714285714,0.0,-21.4285714286,21.4285714286,1,1,12,14
Original 14,Gemini,Baseline RAG,Pass@1,64.2857142857,72.8571428571,8.5714285714,-14.2857142857,31.4285714286,5,2,7,14
Original 14,Gemini,Baseline RAG,Pass@3,70.7142857143,82.1428571429,11.4285714286,-14.2857142857,37.1428571429,3,1,10,14
Original 14,Gemini,Baseline RAG,Pass@5,71.4285714286,85.7142857143,14.2857142857,-14.2857142857,42.8571428571,3,1,10,14
Original 14,Gemini,RAG + Verify/Repair,Pass@1,70.0,72.8571428571,2.8571428571,-17.1428571429,22.8571428571,3,2,9,14
Original 14,Gemini,RAG + Verify/Repair,Pass@3,83.5714285714,82.1428571429,-1.4285714286,-18.5714285714,11.4285714286,2,1,11,14
Original 14,Gemini,RAG + Verify/Repair,Pass@5,92.8571428571,85.7142857143,-7.1428571429,-21.4285714286,0.0,0,1,13,14
New 18,GPT,Baseline RAG,Pass@1,63.3333333333,58.8888888889,-4.4444444444,-17.7777777778,6.6666666667,3,3,12,18
New 18,GPT,Baseline RAG,Pass@3,66.1111111111,70.5555555556,4.4444444444,-5.0,15.0,3,2,13,18
New 18,GPT,Baseline RAG,Pass@5,66.6666666667,77.7777777778,11.1111111111,0.0,27.7777777778,2,0,16,18
New 18,GPT,RAG + Verify/Repair,Pass@1,66.6666666667,58.8888888889,-7.7777777778,-20.0,1.1111111111,1,3,14,18
New 18,GPT,RAG + Verify/Repair,Pass@3,73.3333333333,70.5555555556,-2.7777777778,-7.7777777778,0.0,0,2,16,18
New 18,GPT,RAG + Verify/Repair,Pass@5,77.7777777778,77.7777777778,0.0,0.0,0.0,0,0,18,18
New 18,Gemini,Baseline RAG,Pass@1,67.7777777778,58.8888888889,-8.8888888889,-22.2222222222,1.1111111111,1,3,14,18
New 18,Gemini,Baseline RAG,Pass@3,70.0,67.2222222222,-2.7777777778,-17.2222222222,9.4444444444,1,2,15,18
New 18,Gemini,Baseline RAG,Pass@5,72.2222222222,72.2222222222,0.0,-16.6666666667,16.6666666667,1,1,16,18
New 18,Gemini,RAG + Verify/Repair,Pass@1,70.0,58.8888888889,-11.1111111111,-24.4444444444,-1.1111111111,0,4,14,18
New 18,Gemini,RAG + Verify/Repair,Pass@3,75.0,67.2222222222,-7.7777777778,-20.0,0.0,0,3,15,18
New 18,Gemini,RAG + Verify/Repair,Pass@5,77.7777777778,72.2222222222,-5.5555555556,-16.6666666667,0.0,0,1,17,18
Expanded 32,GPT,Baseline RAG,Pass@1,58.75,61.875,3.125,-7.5,13.75,8,4,20,32
Expanded 32,GPT,Baseline RAG,Pass@3,68.4375,72.5,4.0625,-6.25,14.6875,7,3,22,32
Expanded 32,GPT,Baseline RAG,Pass@5,71.875,78.125,6.25,-6.25,18.75,3,1,28,32
Expanded 32,GPT,RAG + Verify/Repair,Pass@1,61.875,61.875,0.0,-10.0,10.0,5,5,22,32
Expanded 32,GPT,RAG + Verify/Repair,Pass@3,74.375,72.5,-1.875,-11.25,7.5,3,4,25,32
Expanded 32,GPT,RAG + Verify/Repair,Pass@5,78.125,78.125,0.0,-9.375,9.375,1,1,30,32
Expanded 32,Gemini,Baseline RAG,Pass@1,66.25,65.0,-1.25,-14.375,11.25,6,5,21,32
Expanded 32,Gemini,Baseline RAG,Pass@3,70.3125,73.75,3.4375,-10.0,16.875,4,3,25,32
Expanded 32,Gemini,Baseline RAG,Pass@5,71.875,78.125,6.25,-9.375,21.875,4,2,26,32
Expanded 32,Gemini,RAG + Verify/Repair,Pass@1,70.0,65.0,-5.0,-16.875,5.625,3,6,23,32
Expanded 32,Gemini,RAG + Verify/Repair,Pass@3,78.75,73.75,-5.0,-15.3125,3.125,2,4,26,32
Expanded 32,Gemini,RAG + Verify/Repair,Pass@5,84.375,78.125,-6.25,-15.625,0.0,0,2,30,32
