scope,backend,method,n_tasks,mean_requests,mean_retries,retry_telemetry_n,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_latency_s,mean_repair_rounds
Original 14,GPT,Baseline RAG,14,1.0,,0,2871.2857142857,604.8571428571,3476.1428571429,6.3112937828,0.0
Original 14,GPT,RAG + Verify/Repair,14,1.4285714286,,0,4166.3571428571,693.1428571429,4859.5,10.2940193692,0.4285714286
Original 14,GPT,OpenCoder,14,25.6428571429,,0,6542.7857142857,1891.8571428571,8434.6428571429,47.7377246368,0.5
Original 14,Gemini,Baseline RAG,14,5.0,,0,16913.4285714286,1501.6428571429,18415.0714285714,68.3149510506,0.0
Original 14,Gemini,RAG + Verify/Repair,14,5.4285714286,,0,18418.2857142857,1660.0,20078.2857142857,73.8147987499,0.4285714286
Original 14,Gemini,OpenCoder,14,14.5714285714,,0,17677.5,2260.6428571429,19938.1428571429,153.7706667648,0.4285714286
New 18,GPT,Baseline RAG,18,1.0,0.0,18,2775.8888888889,576.6111111111,3352.5,5.0132215023,0.0
New 18,GPT,RAG + Verify/Repair,18,1.5555555556,0.0,18,4351.0,655.3888888889,5006.3888888889,8.9107346436,0.5555555556
New 18,GPT,OpenCoder,18,27.0555555556,0.0,18,6775.7777777778,1901.2222222222,8677.0,53.6523736507,0.6111111111
New 18,Gemini,Baseline RAG,18,5.0,0.0,18,16296.7222222222,1233.2222222222,17529.9444444444,39.2727404305,0.0
New 18,Gemini,RAG + Verify/Repair,18,5.5,0.0,18,17962.8333333333,1395.1111111111,19357.9444444444,44.9794194466,0.5
New 18,Gemini,OpenCoder,18,15.5555555556,0.0,18,18344.8888888889,2282.2222222222,20627.1111111111,102.9469216226,0.6666666667
Expanded 32,GPT,Baseline RAG,32,1.0,0.0,18,2817.625,588.96875,3406.59375,5.581128125,0.0
Expanded 32,GPT,RAG + Verify/Repair,32,1.5,0.0,18,4270.21875,671.90625,4942.125,9.515921711,0.5
Expanded 32,GPT,OpenCoder,32,26.4375,0.0,18,6673.84375,1897.125,8570.96875,51.0647147071,0.5625
Expanded 32,Gemini,Baseline RAG,32,5.0,0.0,18,16566.53125,1350.65625,17917.1875,51.9787075768,0.0
Expanded 32,Gemini,RAG + Verify/Repair,32,5.46875,0.0,18,18162.09375,1511.0,19673.09375,57.5948978918,0.46875
Expanded 32,Gemini,OpenCoder,32,15.125,0.0,18,18052.90625,2272.78125,20325.6875,125.1823101223,0.5625
