scope,backend,comparator,comparator_correctness,opencoder_correctness,absolute_difference,bootstrap_ci95_low,bootstrap_ci95_high,opencoder_wins,opencoder_losses,ties,mcnemar_exact_p,matched_tasks
Original 14,GPT,Baseline RAG,50.0,78.5714285714,28.5714285714,0.0,57.1428571429,5,1,8,0.21875,14
Original 14,GPT,RAG + Verify/Repair,78.5714285714,78.5714285714,0.0,-21.4285714286,21.4285714286,1,1,12,1.0,14
Original 14,Gemini,Baseline RAG,71.4285714286,85.7142857143,14.2857142857,-14.2857142857,42.8571428571,3,1,10,0.625,14
Original 14,Gemini,RAG + Verify/Repair,92.8571428571,85.7142857143,-7.1428571429,-21.4285714286,0.0,0,1,13,1.0,14
New 18,GPT,Baseline RAG,61.1111111111,77.7777777778,16.6666666667,0.0,33.3333333333,3,0,15,0.25,18
New 18,GPT,RAG + Verify/Repair,77.7777777778,77.7777777778,0.0,0.0,0.0,0,0,18,1.0,18
New 18,Gemini,Baseline RAG,66.6666666667,72.2222222222,5.5555555556,-11.1111111111,22.2222222222,2,1,15,1.0,18
New 18,Gemini,RAG + Verify/Repair,77.7777777778,72.2222222222,-5.5555555556,-16.6666666667,0.0,0,1,17,1.0,18
Expanded 32,GPT,Baseline RAG,56.25,78.125,21.875,6.25,40.625,8,1,23,0.0390625,32
Expanded 32,GPT,RAG + Verify/Repair,78.125,78.125,0.0,-9.375,9.375,1,1,30,1.0,32
Expanded 32,Gemini,Baseline RAG,68.75,78.125,9.375,-6.25,25.0,5,2,25,0.453125,32
Expanded 32,Gemini,RAG + Verify/Repair,84.375,78.125,-6.25,-15.625,0.0,0,2,30,0.5,32
