scope,backend,method,n_tasks,pass@1,pass@3,pass@5,selected_output_correctness,mean_tokens,mean_latency_s,mean_repair_rounds
Original 14,GPT,Baseline RAG,14,52.8571428571,71.4285714286,78.5714285714,50.0,3476.1428571429,6.3112937828,0.0
Original 14,GPT,RAG + Verify/Repair,14,55.7142857143,75.7142857143,78.5714285714,78.5714285714,4859.5,10.2940193692,0.4285714286
Original 14,GPT,OpenCoder,14,65.7142857143,75.0,78.5714285714,78.5714285714,8434.6428571429,47.7377246368,0.5
Original 14,Gemini,Baseline RAG,14,64.2857142857,70.7142857143,71.4285714286,71.4285714286,18415.0714285714,68.3149510506,0.0
Original 14,Gemini,RAG + Verify/Repair,14,70.0,83.5714285714,92.8571428571,92.8571428571,20078.2857142857,73.8147987499,0.4285714286
Original 14,Gemini,OpenCoder,14,72.8571428571,82.1428571429,85.7142857143,85.7142857143,19938.1428571429,153.7706667648,0.4285714286
New 18,GPT,Baseline RAG,18,63.3333333333,66.1111111111,66.6666666667,61.1111111111,3352.5,5.0132215023,0.0
New 18,GPT,RAG + Verify/Repair,18,66.6666666667,73.3333333333,77.7777777778,77.7777777778,5006.3888888889,8.9107346436,0.5555555556
New 18,GPT,OpenCoder,18,58.8888888889,70.5555555556,77.7777777778,77.7777777778,8677.0,53.6523736507,0.6111111111
New 18,Gemini,Baseline RAG,18,67.7777777778,70.0,72.2222222222,66.6666666667,17529.9444444444,39.2727404305,0.0
New 18,Gemini,RAG + Verify/Repair,18,70.0,75.0,77.7777777778,77.7777777778,19357.9444444444,44.9794194466,0.5
New 18,Gemini,OpenCoder,18,58.8888888889,67.2222222222,72.2222222222,72.2222222222,20627.1111111111,102.9469216226,0.6666666667
Expanded 32,GPT,Baseline RAG,32,58.75,68.4375,71.875,56.25,3406.59375,5.581128125,0.0
Expanded 32,GPT,RAG + Verify/Repair,32,61.875,74.375,78.125,78.125,4942.125,9.515921711,0.5
Expanded 32,GPT,OpenCoder,32,61.875,72.5,78.125,78.125,8570.96875,51.0647147071,0.5625
Expanded 32,Gemini,Baseline RAG,32,66.25,70.3125,71.875,68.75,17917.1875,51.9787075768,0.0
Expanded 32,Gemini,RAG + Verify/Repair,32,70.0,78.75,84.375,84.375,19673.09375,57.5948978918,0.46875
Expanded 32,Gemini,OpenCoder,32,65.0,73.75,78.125,78.125,20325.6875,125.1823101223,0.5625
