task_id,repository,included,exclusion_reason,reference_tests_pass,dependency_complete,artifact_hash
test-apps/python-string-utils/10,test-apps/python-string-utils,false,reference_tests_failed,false,false,sha256:e94c5fdc8e5106d58f93da06c45331caa400b47ec3f334d890dc81c9caf18a9e
test-apps/python-string-utils/11,test-apps/python-string-utils,false,reference_tests_failed,false,false,sha256:07f19ad6a91147ef8d105d90e1ceb7b930ecac0c744de901bb8cbcf8edd8ff45
test-apps/python-string-utils/12,test-apps/python-string-utils,true,,true,true,sha256:99d990503d50d056f7ffea9bff21b27ffd57f48282c29464a015c00f9d1464f7
test-apps/python-string-utils/18,test-apps/python-string-utils,true,,true,true,sha256:7b9ddea532b71f021914e550000002cf374f49f95ee9af1837df02b1c855cec2
test-apps/python-string-utils/19,test-apps/python-string-utils,true,,true,true,sha256:3d46deec1c5a6717bc626b4340ce354757e414d772d9758dc05c473e1a09654b
test-apps/python-string-utils/20,test-apps/python-string-utils,true,,true,true,sha256:713a9ff2029d5ff59aa1981deb84e702635f81973c556ea208b370bc7ccc46ca
test-apps/python-string-utils/21,test-apps/python-string-utils,true,,true,true,sha256:ece4aa7e39c9bd54bf876568656f7638f021f6538ff7bec123bb7cf301a7f74f
test-apps/python-string-utils/22,test-apps/python-string-utils,true,,true,true,sha256:c44c86015eeaa4d48364a301c8dd1d7350694c8ef2587abfb65a122f61b46483
test-apps/python-string-utils/23,test-apps/python-string-utils,true,,true,true,sha256:55567600cf8998f153587dbc7d16f565cb51679f2ab4627d9ebb9049ea4e4034
test-apps/python-string-utils/24,test-apps/python-string-utils,true,,true,true,sha256:c6bff696835bd964c596eb6c65a467df4ad7fc9d93d74756358c400413fdda75
test-apps/python-string-utils/25,test-apps/python-string-utils,true,,true,true,sha256:17ca143af3396a19e0d3e39f7c2b2db29f9a356304bf2ee34e58a86201a74980
test-apps/python-string-utils/26,test-apps/python-string-utils,true,,true,true,sha256:9d37d6e625322bb4ef13d269c48834418e8e9fbcd1f8d19dea45a6f9ae5cc34a
test-apps/python-string-utils/27,test-apps/python-string-utils,true,,true,true,sha256:a214a24b567fae90854affd3f2e55d053691bfdbd7f87c7db8622c4c5bf23ff3
test-apps/python-string-utils/28,test-apps/python-string-utils,true,,true,true,sha256:1a6dce6c0039bd84e02a99d37c7fdfb65f1d0edb78560a6b39ac56840798de9f
test-apps/python-string-utils/29,test-apps/python-string-utils,true,,true,true,sha256:a471438ba93453860abd3e9586eab1b7f7b72e0c982457cbbaeccee261b18eab
test-apps/python-string-utils/30,test-apps/python-string-utils,true,,true,true,sha256:f2affa3eca9c7c556a4d116ce4cbff68f4380e6c4a6366b7887ae3786c6114ea
test-apps/python-string-utils/31,test-apps/python-string-utils,true,,true,true,sha256:bb7fbfd2d5c104c7f3736b64b7288dd2cb38ae6384c61dce588b9b57b301f3e1
test-apps/python-string-utils/32,test-apps/python-string-utils,false,reference_tests_failed,false,false,sha256:9fbaca8d9a6df13649d8a38d5b72b5ed785c790e1b7a2c062789b6454dc8bed0
test-apps/python-string-utils/33,test-apps/python-string-utils,false,reference_tests_failed,false,false,sha256:79a9e16f116d39ab1c5b240a956a2e9aad27c889bc5d3495d571fc3be5dea588
test-apps/python-string-utils/34,test-apps/python-string-utils,false,reference_tests_failed,false,false,sha256:ffe622225313fa50bb7633e868fdf5d84055a35fefe857a997a988153d55eb36
test-apps/python-string-utils/35,test-apps/python-string-utils,false,reference_tests_failed,false,false,sha256:baab41269c206a8c39a37e25d2f32d898775876c7981150bd469c1d183211664
test-apps/python-string-utils/36,test-apps/python-string-utils,true,,true,true,sha256:582489d9a785aea165ed8fb1fcd8b5d21aefd300cd08eb60f9fa137a01a46815
test-apps/python-string-utils/37,test-apps/python-string-utils,true,,true,true,sha256:f276bf7b645239c7169806fa91cc81b90173da7655c4092306e5253dd7bf7bd1
test-apps/python-string-utils/39,test-apps/python-string-utils,true,,true,true,sha256:be0ab19b7f8f56bac006345194ebef4e4a706335b74f580dfda204fdaa62772d
test-apps/python-string-utils/40,test-apps/python-string-utils,false,reference_tests_failed,false,false,sha256:5bde6497e95603f8d9d9d55e2d4a206203ff08c03012ac9f884113ae0d721826
