decision_policy,model,decision,tasks,task_share,correct_tasks,correctness,failure_rate,mean_risk,autonomous_coverage,autonomous_accuracy,autonomous_accuracy_ci_low,autonomous_accuracy_ci_high,intervention_rate,failure_capture_rate,failure_capture_ci_low,failure_capture_ci_high,failure_auroc,failure_auprc
uncertainty_only,gpt-4o-mini,autonomous,36,0.3,15,0.4166666666666667,0.5833333333333334,0.30853038227953283,,,,,,,,,,
uncertainty_only,gpt-4o-mini,request_review,84,0.7,22,0.2619047619047619,0.7380952380952381,0.4147636721008224,,,,,,,,,,
uncertainty_only,gpt-4o-mini,abstain,0,0.0,0,,,,,,,,,,,,,
uncertainty_only,gpt-4o-mini,ALL_POLICY_METRICS,120,1.0,37,0.30833333333333335,0.6916666666666667,0.3828936851544355,0.3,0.4166666666666667,0.25806451612903225,0.5777777777777777,0.7,0.7469879518072289,0.6511627906976745,0.8375,0.6320416802344513,0.828406732576508
uncertainty_only,gemini-2.5-flash,autonomous,31,0.25833333333333336,14,0.45161290322580644,0.5483870967741935,0.30544590883617123,,,,,,,,,,
uncertainty_only,gemini-2.5-flash,request_review,89,0.7416666666666667,30,0.33707865168539325,0.6629213483146067,0.41851246151851285,,,,,,,,,,
uncertainty_only,gemini-2.5-flash,abstain,0,0.0,0,,,,,,,,,,,,,
uncertainty_only,gemini-2.5-flash,ALL_POLICY_METRICS,120,1.0,44,0.36666666666666664,0.6333333333333333,0.3893036020755746,0.25833333333333336,0.45161290322580644,0.27586206896551724,0.6296296296296297,0.7416666666666667,0.7763157894736842,0.6811594202898551,0.8674698795180723,0.6016746411483253,0.7625315119398374
uncertainty_only,claude-sonnet-5,autonomous,40,0.3333333333333333,36,0.9,0.1,0.3054855164260893,,,,,,,,,,
uncertainty_only,claude-sonnet-5,request_review,80,0.6666666666666666,53,0.6625,0.3375,0.43008230561089716,,,,,,,,,,
uncertainty_only,claude-sonnet-5,abstain,0,0.0,0,,,,,,,,,,,,,
uncertainty_only,claude-sonnet-5,ALL_POLICY_METRICS,120,1.0,89,0.7416666666666667,0.25833333333333336,0.38855004254929454,0.3333333333333333,0.9,0.7954545454545454,0.9772727272727273,0.6666666666666666,0.8709677419354839,0.7407407407407407,0.9714285714285714,0.6922798115259152,0.4885780828061682
uncertainty_only,qwen3-coder-plus,autonomous,45,0.375,29,0.6444444444444445,0.35555555555555557,0.2977671228018727,,,,,,,,,,
uncertainty_only,qwen3-coder-plus,request_review,75,0.625,43,0.5733333333333334,0.4266666666666667,0.4088367131540299,,,,,,,,,,
uncertainty_only,qwen3-coder-plus,abstain,0,0.0,0,,,,,,,,,,,,,
uncertainty_only,qwen3-coder-plus,ALL_POLICY_METRICS,120,1.0,72,0.6,0.4,0.367185616771971,0.375,0.6444444444444445,0.5,0.782608695652174,0.625,0.6666666666666666,0.5294117647058824,0.7954545454545454,0.5960648148148148,0.548914202976311
lifecycle_gated,gpt-4o-mini,autonomous,32,0.26666666666666666,32,1.0,0.0,0.24432312347703952,,,,,,,,,,
lifecycle_gated,gpt-4o-mini,request_review,5,0.041666666666666664,5,1.0,0.0,0.4401828100931565,,,,,,,,,,
lifecycle_gated,gpt-4o-mini,abstain,83,0.6916666666666667,0,0.0,1.0,0.5947257928990819,,,,,,,,,,
lifecycle_gated,gpt-4o-mini,ALL_POLICY_METRICS,120,1.0,37,0.30833333333333335,0.6916666666666667,0.49484579010295704,0.26666666666666666,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0
lifecycle_gated,gemini-2.5-flash,autonomous,36,0.3,36,1.0,0.0,0.24614390484393822,,,,,,,,,,
lifecycle_gated,gemini-2.5-flash,request_review,8,0.06666666666666667,8,1.0,0.0,0.48228505903822505,,,,,,,,,,
lifecycle_gated,gemini-2.5-flash,abstain,76,0.6333333333333333,0,0.0,1.0,0.5993398305178735,,,,,,,,,,
lifecycle_gated,gemini-2.5-flash,ALL_POLICY_METRICS,120,1.0,44,0.36666666666666664,0.6333333333333333,0.4855774013837164,0.3,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.9994019138755981,0.9996626180836707
lifecycle_gated,claude-sonnet-5,autonomous,76,0.6333333333333333,76,1.0,0.0,0.24245037231484395,,,,,,,,,,
lifecycle_gated,claude-sonnet-5,request_review,13,0.10833333333333334,13,1.0,0.0,0.46355203638792297,,,,,,,,,,
lifecycle_gated,claude-sonnet-5,abstain,31,0.25833333333333336,0,0.0,1.0,0.6211806011281428,,,,,,,,,,
lifecycle_gated,claude-sonnet-5,ALL_POLICY_METRICS,120,1.0,89,0.7416666666666667,0.25833333333333336,0.364241695032863,0.6333333333333333,1.0,1.0,1.0,0.36666666666666664,1.0,1.0,1.0,0.9985501993475897,0.9963133640552996
lifecycle_gated,qwen3-coder-plus,autonomous,64,0.5333333333333333,64,1.0,0.0,0.23149337960711686,,,,,,,,,,
lifecycle_gated,qwen3-coder-plus,request_review,8,0.06666666666666667,8,1.0,0.0,0.4506324718455762,,,,,,,,,,
lifecycle_gated,qwen3-coder-plus,abstain,48,0.4,0,0.0,1.0,0.5893238876139776,,,,,,,,,,
lifecycle_gated,qwen3-coder-plus,ALL_POLICY_METRICS,120,1.0,72,0.6,0.4,0.38923485562575844,0.5333333333333333,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,0.997974537037037,0.996900030115369
