model,highest_source_risk,repair_attempts,repair_successes,repair_success_rate,mean_source_risk,simulation
gpt-4o-mini,api,29,2,0.06896551724137931,0.3174877286712061,False
gpt-4o-mini,context,37,2,0.05405405405405406,0.4968724824068333,False
gpt-4o-mini,similar_code,22,1,0.045454545454545456,0.2769582444306366,False
gemini-2.5-flash,api,22,1,0.045454545454545456,0.3386357601783681,False
gemini-2.5-flash,context,31,2,0.06451612903225806,0.48424421883811486,False
gemini-2.5-flash,similar_code,31,5,0.16129032258064516,0.33387990084286484,False
claude-sonnet-5,api,15,4,0.26666666666666666,0.36313977039191375,False
claude-sonnet-5,context,21,6,0.2857142857142857,0.49523730720191256,False
claude-sonnet-5,similar_code,6,1,0.16666666666666666,0.35319369836657055,False
qwen3-coder-plus,api,22,2,0.09090909090909091,0.3112624052900928,False
qwen3-coder-plus,context,26,3,0.11538461538461539,0.4680666680178995,False
qwen3-coder-plus,similar_code,6,1,0.16666666666666666,0.3015406685568965,False
