model,comparator,metric,comparator_value,opencoder_value,absolute_difference,bootstrap_ci95_low,bootstrap_ci95_high,opencoder_wins,opencoder_losses,ties,matched_tasks
gpt-4o-mini,Direct Generation,pass@1,0.15666666666666665,0.23,0.07333333333333336,0.03333333333333333,0.12000000000000001,16,5,99,120
gpt-4o-mini,Direct Generation,pass@3,0.18833333333333335,0.25583333333333336,0.0675,0.021666666666666667,0.11833333333333335,12,3,105,120
gpt-4o-mini,Direct Generation,pass@5,0.2,0.26666666666666666,0.06666666666666665,0.016666666666666666,0.125,10,2,108,120
gpt-4o-mini,Standard RAG,pass@1,0.2583333333333333,0.23,-0.028333333333333294,-0.06166666666666667,0.0016666666666666635,4,10,106,120
gpt-4o-mini,Standard RAG,pass@3,0.29583333333333334,0.25583333333333336,-0.03999999999999998,-0.07916666666666666,-0.005000000000000003,3,7,110,120
gpt-4o-mini,Standard RAG,pass@5,0.30833333333333335,0.26666666666666666,-0.041666666666666685,-0.08333333333333333,0.0,1,6,113,120
gpt-4o-mini,RAG + Verify/Repair,pass@1,0.24833333333333332,0.23,-0.018333333333333313,-0.05000000000000001,0.013333333333333338,6,13,101,120
gpt-4o-mini,RAG + Verify/Repair,pass@3,0.2925000000000001,0.25583333333333336,-0.036666666666666736,-0.08083333333333333,0.004166666666666664,3,9,108,120
gpt-4o-mini,RAG + Verify/Repair,pass@5,0.30833333333333335,0.26666666666666666,-0.041666666666666685,-0.09166666666666666,0.008333333333333333,2,7,111,120
gemini-2.5-flash,Direct Generation,pass@1,0.22833333333333336,0.19333333333333333,-0.03500000000000003,-0.07666666666666667,0.006666666666666663,10,23,87,120
gemini-2.5-flash,Direct Generation,pass@3,0.2908333333333334,0.2733333333333333,-0.01750000000000007,-0.06749999999999999,0.03166666666666666,8,13,99,120
gemini-2.5-flash,Direct Generation,pass@5,0.30833333333333335,0.3,-0.00833333333333336,-0.06666666666666667,0.041666666666666664,5,6,109,120
gemini-2.5-flash,Standard RAG,pass@1,0.24000000000000002,0.19333333333333333,-0.04666666666666669,-0.07833333333333332,-0.018333333333333326,8,29,83,120
gemini-2.5-flash,Standard RAG,pass@3,0.3350000000000001,0.2733333333333333,-0.06166666666666676,-0.10916666666666666,-0.016666666666666666,6,18,96,120
gemini-2.5-flash,Standard RAG,pass@5,0.39166666666666666,0.3,-0.09166666666666667,-0.15833333333333333,-0.025,3,14,103,120
gemini-2.5-flash,RAG + Verify/Repair,pass@1,0.21833333333333335,0.19333333333333333,-0.025000000000000022,-0.05333333333333333,0.0033333333333333327,10,21,89,120
gemini-2.5-flash,RAG + Verify/Repair,pass@3,0.29000000000000004,0.2733333333333333,-0.01666666666666672,-0.060833333333333336,0.02666666666666667,6,12,102,120
gemini-2.5-flash,RAG + Verify/Repair,pass@5,0.325,0.3,-0.025000000000000022,-0.08333333333333333,0.03333333333333333,5,8,107,120
claude-sonnet-5,Direct Generation,pass@1,0.5166666666666667,0.5583333333333333,0.04166666666666663,1.827242061362258e-18,0.08666666666666667,18,14,88,120
claude-sonnet-5,Direct Generation,pass@3,0.5875,0.6241666666666668,0.036666666666666736,-0.014999999999999998,0.08833333333333333,13,8,99,120
claude-sonnet-5,Direct Generation,pass@5,0.6166666666666667,0.65,0.033333333333333326,-0.025,0.09166666666666666,9,5,106,120
claude-sonnet-5,Standard RAG,pass@1,0.5583333333333333,0.5583333333333333,0.0,-0.03166666666666666,0.030000000000000006,15,14,91,120
claude-sonnet-5,Standard RAG,pass@3,0.6266666666666668,0.6241666666666668,-0.0025000000000000577,-0.041666666666666664,0.03666666666666667,8,7,105,120
claude-sonnet-5,Standard RAG,pass@5,0.65,0.65,0.0,-0.05,0.05,5,5,110,120
claude-sonnet-5,RAG + Verify/Repair,pass@1,0.55,0.5583333333333333,0.008333333333333304,-0.019999999999999997,0.03666666666666667,16,14,90,120
claude-sonnet-5,RAG + Verify/Repair,pass@3,0.6333333333333334,0.6241666666666668,-0.009166666666666656,-0.0475,0.029166666666666667,9,9,102,120
claude-sonnet-5,RAG + Verify/Repair,pass@5,0.6666666666666666,0.65,-0.016666666666666607,-0.06666666666666667,0.03333333333333333,4,6,110,120
qwen3-coder-plus,Direct Generation,pass@1,0.4733333333333334,0.49833333333333335,0.024999999999999967,-0.02166666666666667,0.07333333333333333,17,14,89,120
qwen3-coder-plus,Direct Generation,pass@3,0.5233333333333333,0.5383333333333333,0.015000000000000013,-0.035,0.06666666666666667,10,8,102,120
qwen3-coder-plus,Direct Generation,pass@5,0.5416666666666666,0.55,0.008333333333333415,-0.05,0.06666666666666667,6,5,109,120
qwen3-coder-plus,Standard RAG,pass@1,0.5333333333333333,0.49833333333333335,-0.034999999999999976,-0.065,-0.008333333333333333,5,14,101,120
qwen3-coder-plus,Standard RAG,pass@3,0.5566666666666666,0.5383333333333333,-0.018333333333333313,-0.04833333333333333,0.009166666666666665,1,6,113,120
qwen3-coder-plus,Standard RAG,pass@5,0.5583333333333333,0.55,-0.008333333333333304,-0.03333333333333333,0.016666666666666666,1,2,117,120
qwen3-coder-plus,RAG + Verify/Repair,pass@1,0.5199999999999999,0.49833333333333335,-0.021666666666666556,-0.04833333333333334,0.0016666666666666663,4,10,106,120
qwen3-coder-plus,RAG + Verify/Repair,pass@3,0.5533333333333333,0.5383333333333333,-0.015000000000000013,-0.04418749999999999,0.011666666666666665,1,5,114,120
qwen3-coder-plus,RAG + Verify/Repair,pass@5,0.5583333333333333,0.55,-0.008333333333333304,-0.03333333333333333,0.016666666666666666,1,2,117,120
