model,method,tasks,requests,retries,failed_attempts,prompt_tokens,completion_tokens,total_tokens,mean_tokens,mean_latency_seconds,mean_repair_rounds,estimated_cost,currency
gpt-4o-mini,Direct Generation,120,120,0,0,170918,60714,231632,1930.2666666666667,12.896256611091122,0.0,0.06703138800000001,USD
gpt-4o-mini,Standard RAG,120,120,0,0,384255,68617,452872,3773.9333333333334,25.18474869130023,0.0,0.106713126,USD
gpt-4o-mini,RAG + Verify/Repair,120,284,0,0,1012484,92157,1104641,9205.341666666667,58.93416763543409,1.3666666666666667,0.223740144,USD
gpt-4o-mini,OpenCoderX,120,1748,0,0,1350053,206137,1556190,12968.25,50.95505004786828,1.4333333333333333,0.35228536200000005,USD
gemini-2.5-flash,Direct Generation,120,600,3,3,984279,872227,1856506,15470.883333333333,55.872895116316066,0.0,2.6739192960000007,USD
gemini-2.5-flash,Standard RAG,120,600,3,3,2203735,955660,3159395,26328.291666666668,57.0707776238661,0.0,3.29429214,USD
gemini-2.5-flash,RAG + Verify/Repair,120,759,4,4,2656748,1128377,3785125,31542.708333333332,70.03986184617551,1.325,3.9074042520000005,USD
gemini-2.5-flash,OpenCoderX,120,1993,2,2,2879146,1369942,4249088,35409.066666666666,91.05842969378355,1.3583333333333334,4.631686704,USD
claude-sonnet-5,Direct Generation,120,600,0,0,1093455,325905,1419360,11828.0,63.31821725969918,0.0,5.881636800000001,USD
claude-sonnet-5,Standard RAG,120,600,0,0,2423571,289539,2713110,22609.25,68.43496397533345,0.0,8.36193456,USD
claude-sonnet-5,RAG + Verify/Repair,120,673,0,0,2841929,332945,3174874,26457.283333333333,86.86545784691613,0.6083333333333333,9.73437264,USD
claude-sonnet-5,OpenCoderX,120,7553,8,8,3737882,928661,4666543,38887.85833333333,425.97486461669325,0.6083333333333333,18.103363920000003,USD
qwen3-coder-plus,Direct Generation,120,600,0,0,862070,144953,1007023,8391.858333333334,70.82978631560012,0.0,5.767528,CNY
qwen3-coder-plus,Standard RAG,120,600,0,0,1932420,153854,2086274,17385.616666666665,49.40962598756875,0.0,10.191344,CNY
qwen3-coder-plus,RAG + Verify/Repair,120,703,0,0,2608047,197296,2805343,23377.858333333334,60.63562914545776,0.8583333333333333,13.588924,CNY
qwen3-coder-plus,OpenCoderX,120,2036,2,2,2849852,307320,3157172,26309.766666666666,95.73053907570853,0.8666666666666667,16.316528,CNY
