model,comparator,comparator_correctness,opencoder_correctness,absolute_difference,bootstrap_ci95_low,bootstrap_ci95_high,opencoder_wins,opencoder_losses,ties,mcnemar_exact_p,mcnemar_holm_p,matched_tasks
gpt-4o-mini,Direct Generation,0.16666666666666666,0.30833333333333335,0.1416666666666667,0.08333333333333333,0.20833333333333334,17,0,103,1.52587890625e-05,4.57763671875e-05,120
gpt-4o-mini,Standard RAG,0.25833333333333336,0.30833333333333335,0.04999999999999999,0.008333333333333333,0.1,7,1,112,0.0703125,0.0703125,120
gpt-4o-mini,RAG + Verify/Repair,0.325,0.30833333333333335,-0.016666666666666663,-0.05,0.016666666666666666,1,3,116,0.625,1.0,120
gemini-2.5-flash,Direct Generation,0.225,0.36666666666666664,0.14166666666666664,0.075,0.20833333333333334,18,1,101,7.62939453125e-05,0.000152587890625,120
gemini-2.5-flash,Standard RAG,0.25833333333333336,0.36666666666666664,0.10833333333333328,0.041666666666666664,0.175,16,3,101,0.004425048828125,0.013275146484375,120
gemini-2.5-flash,RAG + Verify/Repair,0.35,0.36666666666666664,0.016666666666666663,-0.041666666666666664,0.075,8,6,106,0.79052734375,1.0,120
claude-sonnet-5,Direct Generation,0.5166666666666667,0.7416666666666667,0.22499999999999998,0.15,0.30833333333333335,28,1,91,1.1175870895385742e-07,4.470348358154297e-07,120
claude-sonnet-5,Standard RAG,0.5833333333333334,0.7416666666666667,0.15833333333333333,0.09166666666666666,0.23333333333333334,20,1,99,2.09808349609375e-05,8.392333984375e-05,120
claude-sonnet-5,RAG + Verify/Repair,0.7333333333333333,0.7416666666666667,0.008333333333333415,-0.041666666666666664,0.058333333333333334,5,4,111,1.0,1.0,120
qwen3-coder-plus,Direct Generation,0.48333333333333334,0.6,0.11666666666666664,0.058333333333333334,0.18333333333333332,15,1,104,0.000518798828125,0.000518798828125,120
qwen3-coder-plus,Standard RAG,0.5333333333333333,0.6,0.06666666666666665,0.016666666666666666,0.11666666666666667,9,1,110,0.021484375,0.04296875,120
qwen3-coder-plus,RAG + Verify/Repair,0.6083333333333333,0.6,-0.008333333333333304,-0.041666666666666664,0.025,2,3,115,1.0,1.0,120
