model,metric,direct_value,context_rag_value,absolute_difference,bootstrap_ci95_low,bootstrap_ci95_high,context_rag_wins,context_rag_losses,ties,exact_mcnemar_p,holm_p,matched_tasks
gpt-4o-mini,exact_match,0.06,0.15,0.09,0.04,0.15,9,0,91,0.00390625,0.015625,100
gpt-4o-mini,edit_similarity,0.5837999999999998,0.6594999999999999,0.0757000000000001,0.0275,0.12530000000000002,48,23,29,,,100
gpt-4o-mini,identifier_f1,0.4393126285479225,0.5472813820166759,0.10796875346875334,0.0510062950937951,0.16780804334554336,33,15,52,,,100
gemini-2.5-flash,exact_match,0.05,0.1,0.05,-0.01,0.11,8,3,89,0.2265625,0.2265625,100
gemini-2.5-flash,edit_similarity,0.4852,0.5089,0.0237,-0.03780250000000001,0.08460249999999997,38,49,13,,,100
gemini-2.5-flash,identifier_f1,0.37377111450640854,0.4286671759612935,0.05489606145488496,-0.022976166072489604,0.13660272578728463,34,25,41,,,100
claude-sonnet-5,exact_match,0.16,0.27,0.11000000000000001,0.03,0.19,14,3,83,0.012725830078125,0.02545166015625,100
claude-sonnet-5,edit_similarity,0.6162999999999997,0.6482999999999999,0.03200000000000014,-0.03120499999999999,0.09630249999999999,38,24,38,,,100
claude-sonnet-5,identifier_f1,0.5284415916900435,0.5936834244187184,0.0652418327286749,-0.003767603193590035,0.13587668745727954,24,19,57,,,100
qwen3-coder-plus,exact_match,0.07,0.17,0.1,0.04,0.17,11,1,88,0.00634765625,0.01904296875,100
qwen3-coder-plus,edit_similarity,0.5840000000000001,0.6591999999999998,0.07519999999999971,0.0335,0.1202,47,23,30,,,100
qwen3-coder-plus,identifier_f1,0.4471409032144325,0.5705272684831506,0.1233863652687181,0.06690250672530083,0.18147880118247764,35,15,50,,,100
