model,policy,policy_label,review_budget,reviewer_success,seeds,tasks,mean_reviewed_tasks,mean_actual_review_rate,simulation,mean_team_success_rate,sd_team_success_rate,min_team_success_rate,max_team_success_rate,mean_selective_accuracy,sd_selective_accuracy,min_selective_accuracy,max_selective_accuracy,mean_autonomous_coverage,sd_autonomous_coverage,min_autonomous_coverage,max_autonomous_coverage,mean_autonomous_failure_rate,sd_autonomous_failure_rate,min_autonomous_failure_rate,max_autonomous_failure_rate,mean_failure_capture_rate,sd_failure_capture_rate,min_failure_capture_rate,max_failure_capture_rate,mean_deferral_precision,sd_deferral_precision,min_deferral_precision,max_deferral_precision,mean_unnecessary_review_rate,sd_unnecessary_review_rate,min_unnecessary_review_rate,max_unnecessary_review_rate,mean_errors_prevented_per_review,sd_errors_prevented_per_review,min_errors_prevented_per_review,max_errors_prevented_per_review,mean_reviews_per_prevented_failure,sd_reviews_per_prevented_failure,min_reviews_per_prevented_failure,max_reviews_per_prevented_failure
gpt-4o-mini,random_deferral,Random,0.1,0.75,5,120,12.0,0.1,True,0.35666666666666663,0.00971825315807551,0.35,0.375,0.30185185185185187,0.01111111111111112,0.28703703703703703,0.3148148148148148,0.9,0.0,0.9,0.9,0.6981481481481482,0.011111111111111079,0.6851851851851852,0.7129629629629629,0.09156626506024096,0.014457831325301209,0.07228915662650602,0.10843373493975904,0.6333333333333333,0.09999999999999999,0.5,0.75,0.3666666666666667,0.1,0.25,0.5,0.48333333333333334,0.09718253158075499,0.4166666666666667,0.6666666666666666,2.14,0.35552777669262353,1.5,2.4
gpt-4o-mini,random_deferral,Random,0.2,0.75,5,120,24.0,0.2,True,0.4033333333333333,0.0214734978778752,0.375,0.44166666666666665,0.29791666666666666,0.01692508000965826,0.2708333333333333,0.3229166666666667,0.8,0.0,0.8,0.8,0.7020833333333333,0.016925080009658235,0.6770833333333334,0.7291666666666666,0.18795180722891566,0.019575996155749304,0.1566265060240964,0.21686746987951808,0.65,0.06770032003863301,0.5416666666666666,0.75,0.35,0.067700320038633,0.25,0.4583333333333333,0.475,0.10736748938937604,0.3333333333333333,0.6666666666666666,2.209090909090909,0.4755162483862553,1.5,3.0
gpt-4o-mini,random_deferral,Random,0.5,0.75,5,120,60.0,0.5,True,0.5650000000000001,0.02708012801545321,0.5416666666666666,0.6166666666666667,0.31,0.019999999999999997,0.2833333333333333,0.3333333333333333,0.5,0.0,0.5,0.5,0.69,0.02000000000000001,0.6666666666666666,0.7166666666666667,0.5012048192771085,0.01445783132530121,0.4819277108433735,0.5180722891566265,0.6933333333333334,0.02000000000000001,0.6666666666666666,0.7166666666666667,0.30666666666666664,0.019999999999999997,0.2833333333333333,0.3333333333333333,0.5133333333333333,0.05416025603090641,0.4666666666666667,0.6166666666666667,1.967578733985853,0.18547101341277342,1.6216216216216217,2.142857142857143
gpt-4o-mini,test_failure_deferral,Pre-repair test failure,0.1,0.75,5,120,12.0,0.1,True,0.37833333333333335,0.013540064007726609,0.35833333333333334,0.4,0.3425925925925926,0.0,0.3425925925925926,0.3425925925925926,0.9,0.0,0.9,0.9,0.6574074074074074,0.0,0.6574074074074074,0.6574074074074074,0.14457831325301204,0.0,0.14457831325301204,0.14457831325301204,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.135400640077266,0.5,0.9166666666666666,1.4848484848484849,0.29798835803489754,1.0909090909090908,2.0
gpt-4o-mini,test_failure_deferral,Pre-repair test failure,0.2,0.75,5,120,24.0,0.2,True,0.4483333333333333,0.02068278940998476,0.425,0.475,0.375,0.0,0.375,0.375,0.8,0.0,0.8,0.8,0.625,0.0,0.625,0.625,0.27710843373493976,0.0,0.27710843373493976,0.27710843373493976,0.9583333333333334,0.0,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.7000000000000001,0.1034139470499238,0.5833333333333334,0.8333333333333334,1.4606988058381247,0.21817124711319907,1.2,1.7142857142857142
gpt-4o-mini,test_failure_deferral,Pre-repair test failure,0.5,0.75,5,120,60.0,0.5,True,0.66,0.030912061651652348,0.625,0.7083333333333334,0.55,0.0,0.55,0.55,0.5,0.0,0.5,0.5,0.45,0.0,0.45,0.45,0.6746987951807228,0.0,0.6746987951807228,0.6746987951807228,0.9333333333333333,0.0,0.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.7033333333333334,0.06182412330330472,0.6333333333333333,0.8,1.432456140350877,0.12140807211786638,1.25,1.5789473684210527
gpt-4o-mini,aggregate_uncertainty_deferral,Aggregate uncertainty,0.1,0.75,5,120,12.0,0.1,True,0.37833333333333335,0.01247219128924647,0.35833333333333334,0.39166666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.9,0.0,0.9,0.9,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.13253012048192772,0.0,0.13253012048192772,0.13253012048192772,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.7,0.12472191289246473,0.5,0.8333333333333334,1.48,0.2925747767665559,1.2,2.0
gpt-4o-mini,aggregate_uncertainty_deferral,Aggregate uncertainty,0.2,0.75,5,120,24.0,0.2,True,0.43166666666666664,0.019293061504650363,0.4,0.4583333333333333,0.34375,0.0,0.34375,0.34375,0.8,0.0,0.8,0.8,0.65625,0.0,0.65625,0.65625,0.24096385542168675,0.0,0.24096385542168675,0.24096385542168675,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.6166666666666667,0.09646530752325187,0.4583333333333333,0.75,1.6658874458874458,0.28669808323993595,1.3333333333333333,2.1818181818181817
gpt-4o-mini,aggregate_uncertainty_deferral,Aggregate uncertainty,0.5,0.75,5,120,60.0,0.5,True,0.5866666666666667,0.02718251071716681,0.5583333333333333,0.6333333333333333,0.35,0.0,0.35,0.35,0.5,0.0,0.5,0.5,0.65,0.0,0.65,0.65,0.5301204819277109,0.0,0.5301204819277109,0.5301204819277109,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.5566666666666666,0.05436502143433364,0.5,0.65,1.8126462247429989,0.16669166141746086,1.5384615384615385,2.0
gpt-4o-mini,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.1,0.75,5,120,12.0,0.1,True,0.365,0.017795130420052197,0.3333333333333333,0.38333333333333336,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.9,0.0,0.9,0.9,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.13253012048192772,0.0,0.13253012048192772,0.13253012048192772,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.5666666666666667,0.17795130420052185,0.25,0.75,2.0666666666666664,0.9921917377424812,1.3333333333333333,4.0
