model,policy,policy_label,review_budget,reviewer_success,seeds,tasks,mean_reviewed_tasks,mean_actual_review_rate,simulation,mean_team_success_rate,sd_team_success_rate,min_team_success_rate,max_team_success_rate,mean_selective_accuracy,sd_selective_accuracy,min_selective_accuracy,max_selective_accuracy,mean_autonomous_coverage,sd_autonomous_coverage,min_autonomous_coverage,max_autonomous_coverage,mean_autonomous_failure_rate,sd_autonomous_failure_rate,min_autonomous_failure_rate,max_autonomous_failure_rate,mean_failure_capture_rate,sd_failure_capture_rate,min_failure_capture_rate,max_failure_capture_rate,mean_deferral_precision,sd_deferral_precision,min_deferral_precision,max_deferral_precision,mean_unnecessary_review_rate,sd_unnecessary_review_rate,min_unnecessary_review_rate,max_unnecessary_review_rate,mean_errors_prevented_per_review,sd_errors_prevented_per_review,min_errors_prevented_per_review,max_errors_prevented_per_review,mean_reviews_per_prevented_failure,sd_reviews_per_prevented_failure,min_reviews_per_prevented_failure,max_reviews_per_prevented_failure
gpt-4o-mini,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.6,5,120,24.0,0.2,True,0.395,0.020138409955990956,0.35833333333333334,0.4166666666666667,0.34375,0.0,0.34375,0.34375,0.8,0.0,0.8,0.8,0.65625,0.0,0.65625,0.65625,0.24096385542168675,0.0,0.24096385542168675,0.24096385542168675,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.43333333333333335,0.10069204977995476,0.25,0.5416666666666666,2.4855944055944055,0.7794506856203288,1.8461538461538463,4.0
gpt-4o-mini,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.75,5,120,24.0,0.2,True,0.41333333333333333,0.01943650631615099,0.38333333333333336,0.44166666666666665,0.34375,0.0,0.34375,0.34375,0.8,0.0,0.8,0.8,0.65625,0.0,0.65625,0.65625,0.24096385542168675,0.0,0.24096385542168675,0.24096385542168675,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.525,0.097182531580755,0.375,0.6666666666666666,1.976190476190476,0.3932537680392872,1.5,2.6666666666666665
gpt-4o-mini,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.9,5,120,24.0,0.2,True,0.45166666666666666,0.012247448713915886,0.43333333333333335,0.4666666666666667,0.34375,0.0,0.34375,0.34375,0.8,0.0,0.8,0.8,0.65625,0.0,0.65625,0.65625,0.24096385542168675,0.0,0.24096385542168675,0.24096385542168675,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.7166666666666667,0.06123724356957945,0.625,0.7916666666666666,1.4059649122807016,0.12444818180203343,1.263157894736842,1.6
gpt-4o-mini,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,1.0,5,120,24.0,0.2,True,0.475,0.0,0.475,0.475,0.34375,0.0,0.34375,0.34375,0.8,0.0,0.8,0.8,0.65625,0.0,0.65625,0.65625,0.24096385542168675,0.0,0.24096385542168675,0.24096385542168675,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.2,0.0,1.2,1.2
gemini-2.5-flash,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.6,5,120,24.0,0.2,True,0.43166666666666664,0.017795130420052176,0.4,0.45,0.3645833333333333,0.0,0.3645833333333333,0.3645833333333333,0.8,0.0,0.8,0.8,0.6354166666666666,0.0,0.6354166666666666,0.6354166666666666,0.19736842105263158,0.0,0.19736842105263158,0.19736842105263158,0.625,0.0,0.625,0.625,0.375,0.0,0.375,0.375,0.325,0.08897565210026093,0.16666666666666666,0.4166666666666667,3.432380952380952,1.3289943003414786,2.4,6.0
gemini-2.5-flash,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.75,5,120,24.0,0.2,True,0.44666666666666666,0.01247219128924647,0.425,0.4583333333333333,0.3645833333333333,0.0,0.3645833333333333,0.3645833333333333,0.8,0.0,0.8,0.8,0.6354166666666666,0.0,0.6354166666666666,0.6354166666666666,0.19736842105263158,0.0,0.19736842105263158,0.19736842105263158,0.625,0.0,0.625,0.625,0.375,0.0,0.375,0.375,0.4,0.062360956446232345,0.2916666666666667,0.4583333333333333,2.5717748917748917,0.46405685839850475,2.1818181818181817,3.4285714285714284
gemini-2.5-flash,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.9,5,120,24.0,0.2,True,0.4716666666666667,0.012472191289246468,0.45,0.48333333333333334,0.3645833333333333,0.0,0.3645833333333333,0.3645833333333333,0.8,0.0,0.8,0.8,0.6354166666666666,0.0,0.6354166666666666,0.6354166666666666,0.19736842105263158,0.0,0.19736842105263158,0.19736842105263158,0.625,0.0,0.625,0.625,0.375,0.0,0.375,0.375,0.525,0.06236095644623236,0.4166666666666667,0.5833333333333334,1.9349450549450549,0.2552540756952546,1.7142857142857142,2.4
gemini-2.5-flash,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,1.0,5,120,24.0,0.2,True,0.49166666666666664,0.0,0.49166666666666664,0.49166666666666664,0.3645833333333333,0.0,0.3645833333333333,0.3645833333333333,0.8,0.0,0.8,0.8,0.6354166666666666,0.0,0.6354166666666666,0.6354166666666666,0.19736842105263158,0.0,0.19736842105263158,0.19736842105263158,0.625,0.0,0.625,0.625,0.375,0.0,0.375,0.375,0.625,0.0,0.625,0.625,1.6,0.0,1.6,1.6
claude-sonnet-5,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.6,5,120,24.0,0.2,True,0.7683333333333333,0.012247448713915884,0.7583333333333333,0.7916666666666666,0.75,0.0,0.75,0.75,0.8,0.0,0.8,0.8,0.25,0.0,0.25,0.25,0.22580645161290322,0.0,0.22580645161290322,0.22580645161290322,0.2916666666666667,0.0,0.2916666666666667,0.2916666666666667,0.7083333333333334,0.0,0.7083333333333334,0.7083333333333334,0.13333333333333333,0.06123724356957946,0.08333333333333333,0.25,8.8,2.9933259094191533,4.0,12.0
claude-sonnet-5,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.75,5,120,24.0,0.2,True,0.775,0.009128709291752735,0.7666666666666667,0.7916666666666666,0.75,0.0,0.75,0.75,0.8,0.0,0.8,0.8,0.25,0.0,0.25,0.25,0.22580645161290322,0.0,0.22580645161290322,0.22580645161290322,0.2916666666666667,0.0,0.2916666666666667,0.2916666666666667,0.7083333333333334,0.0,0.7083333333333334,0.7083333333333334,0.16666666666666666,0.04564354645876384,0.125,0.25,6.4,1.4966629547095767,4.0,8.0
claude-sonnet-5,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.9,5,120,24.0,0.2,True,0.79,0.006236095644623249,0.7833333333333333,0.8,0.75,0.0,0.75,0.75,0.8,0.0,0.8,0.8,0.25,0.0,0.25,0.25,0.22580645161290322,0.0,0.22580645161290322,0.22580645161290322,0.2916666666666667,0.0,0.2916666666666667,0.2916666666666667,0.7083333333333334,0.0,0.7083333333333334,0.7083333333333334,0.24166666666666667,0.03118047822311618,0.20833333333333334,0.2916666666666667,4.2057142857142855,0.528192914664747,3.4285714285714284,4.8
