model,method,tasks,pass_at_1,pass_at_3,pass_at_5,selected_output_correctness,static_success,mean_uncertainty,mean_tokens,mean_latency_seconds,mean_repair_rounds
gpt-4o-mini,Direct Generation,120,0.15666666666666665,0.18833333333333335,0.2,0.16666666666666666,0.525,0.6701668078700701,1930.2666666666667,12.896256611091122,0.0
gpt-4o-mini,Standard RAG,120,0.2583333333333333,0.29583333333333334,0.30833333333333335,0.25833333333333336,0.7083333333333334,0.6827621687750024,3773.9333333333334,25.18474869130023,0.0
gpt-4o-mini,RAG + Verify/Repair,120,0.24833333333333332,0.2925000000000001,0.30833333333333335,0.325,0.7666666666666667,0.6827459973394868,9205.341666666667,58.93416763543409,1.3666666666666667
gpt-4o-mini,OpenCoderX,120,0.23,0.25583333333333336,0.26666666666666666,0.30833333333333335,0.7166666666666667,0.6825375742117566,12968.25,50.95505004786828,1.4333333333333333
gemini-2.5-flash,Direct Generation,120,0.22833333333333336,0.2908333333333334,0.30833333333333335,0.225,0.425,0.685232388863961,15470.883333333333,55.872895116316066,0.0
gemini-2.5-flash,Standard RAG,120,0.24000000000000002,0.3350000000000001,0.39166666666666666,0.25833333333333336,0.36666666666666664,0.6943622694512211,26328.291666666668,57.0707776238661,0.0
gemini-2.5-flash,RAG + Verify/Repair,120,0.21833333333333335,0.29000000000000004,0.325,0.35,0.45,0.6863252929647765,31542.708333333332,70.03986184617551,1.325
gemini-2.5-flash,OpenCoderX,120,0.19333333333333333,0.2733333333333333,0.3,0.36666666666666664,0.48333333333333334,0.6931798174281919,35409.066666666666,91.05842969378355,1.3583333333333334
claude-sonnet-5,Direct Generation,120,0.5166666666666667,0.5875,0.6166666666666667,0.5166666666666667,0.925,0.6477592290987574,11828.0,63.31821725969918,0.0
claude-sonnet-5,Standard RAG,120,0.5583333333333333,0.6266666666666668,0.65,0.5833333333333334,0.9583333333333334,0.6268067231277629,22609.25,68.43496397533345,0.0
claude-sonnet-5,RAG + Verify/Repair,120,0.55,0.6333333333333334,0.6666666666666666,0.7333333333333333,0.9166666666666666,0.6328388862162826,26457.283333333333,86.86545784691613,0.6083333333333333
claude-sonnet-5,OpenCoderX,120,0.5583333333333333,0.6241666666666668,0.65,0.7416666666666667,0.925,0.6235576435495166,38887.85833333333,425.97486461669325,0.6083333333333333
qwen3-coder-plus,Direct Generation,120,0.4733333333333334,0.5233333333333333,0.5416666666666666,0.48333333333333334,0.9833333333333333,0.6322505006392795,8391.858333333334,70.82978631560012,0.0
qwen3-coder-plus,Standard RAG,120,0.5333333333333333,0.5566666666666666,0.5583333333333333,0.5333333333333333,1.0,0.6211418393055599,17385.616666666665,49.40962598756875,0.0
qwen3-coder-plus,RAG + Verify/Repair,120,0.5199999999999999,0.5533333333333333,0.5583333333333333,0.6083333333333333,0.975,0.6161604373057687,23377.858333333334,60.63562914545776,0.8583333333333333
qwen3-coder-plus,OpenCoderX,120,0.49833333333333335,0.5383333333333333,0.55,0.6,0.9833333333333333,0.6183145693937939,26309.766666666666,95.73053907570853,0.8666666666666667
