backend,condition,tasks,candidates,effective_pass_at_1,sample_pass_at_1,sample_pass_at_3,ece,aurc
GPT,Baseline RAG,10,3,0.1,0.13333333333333336,0.4,0.16150866349538165,0.8071031746031746
GPT,+ Decomposition,10,3,0.5,0.4333333333333334,0.5,0.17414160450299584,0.35507936507936505
GPT,+ Filtering,10,3,0.4,0.4,0.4,0.16724795897801725,0.4563095238095237
GPT,+ Guided generation,10,3,0.5,0.5000000000000001,0.7,0.18985897103945426,0.31658730158730164
GPT,+ Verified selection,10,3,0.8,0.5,0.8,0.3406440317630768,0.5042063492063492
GPT,OpenCoder + repair,10,3,0.8,0.3666666666666667,0.8,0.2220082394282024,0.7923809523809523
GEMINI,Baseline RAG,10,3,0.0,0.13333333333333336,0.4,0.19125083883603405,1.0
GEMINI,+ Decomposition,10,3,0.2,0.2,0.4,0.19334408392508826,0.6975396825396825
GEMINI,+ Filtering,10,3,0.2,0.13333333333333336,0.2,0.31465547253688175,0.956388888888889
GEMINI,+ Guided generation,10,3,0.2,0.13333333333333336,0.3,0.17097090472777687,0.7971031746031746
GEMINI,+ Verified selection,10,3,0.2,0.13333333333333336,0.2,0.2858399644494056,0.9452777777777779
GEMINI,OpenCoder + repair,10,3,0.6,0.2666666666666667,0.4,0.15332882235447567,0.4296428571428571
