benchmark,model,signal,coverage,accepted_tasks,selective_failure_rate,selective_accuracy
ExecRepoBench-120,gpt-4o-mini,api,0.1,12,0.8333333333333334,0.16666666666666663
ExecRepoBench-120,gpt-4o-mini,api,0.2,24,0.75,0.25
ExecRepoBench-120,gpt-4o-mini,api,0.3,36,0.6388888888888888,0.36111111111111116
ExecRepoBench-120,gpt-4o-mini,api,0.5,60,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gpt-4o-mini,api,0.7,84,0.6309523809523809,0.36904761904761907
ExecRepoBench-120,gpt-4o-mini,api,0.9,108,0.6759259259259259,0.32407407407407407
ExecRepoBench-120,gpt-4o-mini,api,1.0,120,0.6916666666666667,0.30833333333333335
ExecRepoBench-120,gpt-4o-mini,context,0.1,12,0.75,0.25
ExecRepoBench-120,gpt-4o-mini,context,0.2,24,0.7916666666666666,0.20833333333333337
ExecRepoBench-120,gpt-4o-mini,context,0.3,36,0.6944444444444444,0.3055555555555556
ExecRepoBench-120,gpt-4o-mini,context,0.5,60,0.65,0.35
ExecRepoBench-120,gpt-4o-mini,context,0.7,84,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gpt-4o-mini,context,0.9,108,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gpt-4o-mini,context,1.0,120,0.6916666666666667,0.30833333333333335
ExecRepoBench-120,gpt-4o-mini,similar_code,0.1,12,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gpt-4o-mini,similar_code,0.2,24,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gpt-4o-mini,similar_code,0.3,36,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gpt-4o-mini,similar_code,0.5,60,0.65,0.35
ExecRepoBench-120,gpt-4o-mini,similar_code,0.7,84,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gpt-4o-mini,similar_code,0.9,108,0.6944444444444444,0.3055555555555556
ExecRepoBench-120,gpt-4o-mini,similar_code,1.0,120,0.6916666666666667,0.30833333333333335
ExecRepoBench-120,gpt-4o-mini,generation,0.1,12,0.4166666666666667,0.5833333333333333
ExecRepoBench-120,gpt-4o-mini,generation,0.2,24,0.5416666666666666,0.45833333333333337
ExecRepoBench-120,gpt-4o-mini,generation,0.3,36,0.5555555555555556,0.4444444444444444
ExecRepoBench-120,gpt-4o-mini,generation,0.5,60,0.65,0.35
ExecRepoBench-120,gpt-4o-mini,generation,0.7,84,0.6547619047619048,0.34523809523809523
ExecRepoBench-120,gpt-4o-mini,generation,0.9,108,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gpt-4o-mini,generation,1.0,120,0.6916666666666667,0.30833333333333335
ExecRepoBench-120,gpt-4o-mini,aggregate,0.1,12,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gpt-4o-mini,aggregate,0.2,24,0.625,0.375
ExecRepoBench-120,gpt-4o-mini,aggregate,0.3,36,0.5833333333333334,0.41666666666666663
ExecRepoBench-120,gpt-4o-mini,aggregate,0.5,60,0.6166666666666667,0.3833333333333333
ExecRepoBench-120,gpt-4o-mini,aggregate,0.7,84,0.6190476190476191,0.38095238095238093
ExecRepoBench-120,gpt-4o-mini,aggregate,0.9,108,0.6574074074074074,0.34259259259259256
ExecRepoBench-120,gpt-4o-mini,aggregate,1.0,120,0.6916666666666667,0.30833333333333335
ExecRepoBench-120,gemini-2.5-flash,api,0.1,12,0.8333333333333334,0.16666666666666663
ExecRepoBench-120,gemini-2.5-flash,api,0.2,24,0.6666666666666666,0.33333333333333337
ExecRepoBench-120,gemini-2.5-flash,api,0.3,36,0.6944444444444444,0.3055555555555556
ExecRepoBench-120,gemini-2.5-flash,api,0.5,60,0.6833333333333333,0.31666666666666665
ExecRepoBench-120,gemini-2.5-flash,api,0.7,84,0.6071428571428571,0.3928571428571429
