model,method,tasks,failure_rate,mean_uncertainty,auroc_failure,auprc_failure,brier_failure,ece_failure_10_bins,aurc,calibration_intercept,calibration_slope
gpt-4o-mini,Direct Generation,120,0.8333333333333334,0.6701668078700701,0.5765,0.8767305394421379,0.1726955176197659,0.16316652546326316,0.7887547901736665,1.2976372200270563,0.4412233668112351
gpt-4o-mini,Standard RAG,120,0.7416666666666667,0.6827621687750024,0.5478434215295397,0.7742772827220304,0.20280315889265335,0.08220854197939235,0.7393215219854795,0.8206179573219818,0.29552448198691494
gpt-4o-mini,RAG + Verify/Repair,120,0.675,0.6827459973394868,0.5533396644507755,0.7146543976363584,0.2232921533422726,0.06987836808959641,0.6382886636144224,0.4376089152646467,0.36913308487118995
gpt-4o-mini,OpenCoderX,120,0.6916666666666667,0.6825375742117566,0.6146206447411267,0.7855215390642698,0.20542600791604584,0.06533594799041753,0.601887287676562,0.21972728858681667,0.7621114868024927
gemini-2.5-flash,Direct Generation,120,0.775,0.685232388863961,0.7451214655515731,0.8886755147528154,0.1615506873330464,0.11660877127448722,0.631592940575301,0.19184159790612684,1.4594952376801684
gemini-2.5-flash,Standard RAG,120,0.7416666666666667,0.6943622694512211,0.7504530627038781,0.8575212439950095,0.16425525295574891,0.10189920424421621,0.5552705170527349,-0.39260675639271836,1.879415844740207
gemini-2.5-flash,RAG + Verify/Repair,120,0.65,0.6863252929647765,0.5854700854700855,0.6728195399934903,0.21843720816091622,0.048829884032408344,0.5432584533168838,-0.04027053447787779,0.8287125918924786
gemini-2.5-flash,OpenCoderX,120,0.6333333333333333,0.6931798174281919,0.618421052631579,0.7141671020894882,0.22058059476014155,0.0844188510477543,0.5070434982893136,-0.3861292415978078,1.1284552979995361
claude-sonnet-5,Direct Generation,120,0.48333333333333334,0.6477592290987574,0.7189933259176864,0.695871167117283,0.24133067114369208,0.166004032616814,0.31648833818544575,-0.9573974297716923,1.2805223618930675
claude-sonnet-5,Standard RAG,120,0.4166666666666667,0.6268067231277629,0.7505714285714286,0.6091033647957906,0.24590680636426004,0.21014005646109585,0.23290170688022557,-1.4250019546079291,1.7407371828366995
claude-sonnet-5,RAG + Verify/Repair,120,0.26666666666666666,0.6328388862162826,0.76171875,0.47842574468569116,0.3028274386891999,0.3661722195496162,0.12399512276441703,-2.389196290087525,1.8368072570721892
claude-sonnet-5,OpenCoderX,120,0.25833333333333336,0.6235576435495166,0.7450163102573396,0.4918571035980974,0.29625599773266004,0.36522431021618346,0.1205068641287547,-2.3121916628721833,1.7274768500994107
qwen3-coder-plus,Direct Generation,120,0.5166666666666667,0.6322505006392795,0.642797552836485,0.6100753700965842,0.24872707968136043,0.11558383397261303,0.4042625676652309,-0.4173778172931649,0.8299012986918106
qwen3-coder-plus,Standard RAG,120,0.4666666666666667,0.6211418393055599,0.6357421875,0.585289939379004,0.2626505382944546,0.1575307945013047,0.37613649111740727,-0.543034907595025,0.753872271970904
qwen3-coder-plus,RAG + Verify/Repair,120,0.39166666666666666,0.6161604373057687,0.6859516176041971,0.5714348689347486,0.2710494349298237,0.23095381299654655,0.2821264264016035,-1.003821827624557,1.0125073472578117
qwen3-coder-plus,OpenCoderX,120,0.4,0.6183145693937939,0.7039930555555556,0.61875734006153,0.26490278722197147,0.22466954584916435,0.30852174089417544,-1.0653395862256205,1.152802497623029
